id,size,color,source,target
"Молінарі, Рікардо Е",0,#E59247,Austria,German
"Огандо, Еміліо М",0,#E59247,German,"Кафка, Франц"
"Оргамбіде, Педро",0,#E59247,1990 - 2000,Austria
"Прилуцька-Фарни, Юлія",0,#E59247,Austria,German
"Соррентіно, Фернандо",0,#E59247,German,"Кафка, Франц"
"Сторні, Альфонсина(Альфонсіна)",0,#E59247,1990 - 2000,Austria
"Тьємпо, Сесар (справж. ім’я - Цейтлін Ізраїль)",0,#E59247,Austria,German
"Форкат, Хуліо Сесар",0,#E59247,German,"Кафка, Франц"
"Хіхена Санчес, Рафаель",0,#E59247,1990 - 2000,Austria
Afghanistan,13,#F2A2A11,Austria,German
Dari,9,#D1605E,German,"Кафка, Франц"
"Абар, Мір",0,#E59247,1990 - 2000,Austria
Pashto,4,#D1605E,Austria,German
"Зіяр, Муджавар Ахмад",0,#E59247,German,"Кафка, Франц"
"Кавім, Каюм",0,#E59247,1990 - 2000,Austria
"Лаєк, Сулейман",0,#E59247,Austria,German
"Нагібі, Абдулла",0,#E59247,German,"Кафка, Франц"
"Назімі, Латіф",0,#E59247,1990 - 2000,Austria
"Таракі, Нур Мухаммед",0,#E59247,Austria,German
"Туфані, Сиддик Кавун",0,#E59247,German,"Кафка, Франц"
"Хабіб, Асадулла",0,#E59247,1990 - 2000,Austria
"Хабіб, Кадир",0,#E59247,Austria,German
"Хадем, Кіямуддін",0,#E59247,German,"Кафка, Франц"
"Хусейні, Рафат",0,#E59247,1990 - 2000,Austria
Bangladesh,4,#F2A2A11,Austria,German
"Бхоттачарджо, Шуканто",0,#E59247,German,"Кафка, Франц"
"Іслам, Нозрул",0,#E59247,1990 - 2000,Austria
"Шабер, Шохід",0,#E59247,Austria,German
Belgium,20,#F2A2A11,German,"Кафка, Франц"
Flemish,5,#D1605E,1990 - 2000,Austria
"Акен, Піт Ван",0,#E59247,Austria,German
"Ван Лерберг, Шарль",0,#E59247,German,"Кафка, Франц"
"Ванделоо, Йос",0,#E59247,1990 - 2000,Austria
"Верхарн, Еміль",0,#E59247,Austria,German
"Елсхот, Віллєм(Ван-Ріддер)",0,#E59247,German,"Кафка, Франц"
"Елсхот, Віллєм (Ван-Ріддер)",0,#E59247,1990 - 2000,Austria
"Ертай, Жаклін",0,#E59247,Austria,German
"Жакмен, Франсуа",0,#E59247,German,"Кафка, Франц"
"Клаус, Гуґо",0,#E59247,1960 - 1970,Austria
"Лемоньє, Каміл",0,#E59247,Austria,German
"Лодомез, Аєтон",0,#E59247,German,"Кафка, Франц"
"Нело, Жіль",0,#E59247,1960 - 1970,Austria
"Пер’є, Оділон-Жан",0,#E59247,Austria,German
Єтецик Ірен,0,#E59247,German,"Кафка, Франц"
"Тесса, Франсіс",0,#E59247,1960 - 1970,Austria
"Фалкенаре, Жюльєн де",0,#E59247,Austria,German
"Юбен, Крістіан",0,#E59247,German,"Кафка, Франц"
Benin,3,#F2A2A11,1960 - 1970,Austria
"Асонгба, Ромен",0,#E59247,Austria,German
"Суману, Мама",0,#E59247,German,"Кафка, Франц"
Belarus,5,#F2A2A11,1960 - 1970,Austria
Belarusian,5,#D1605E,Austria,German
"Богданович, Максим",0,#E59247,German,"Кафка, Франц"
"Гартни, Цішка",0,#E59247,1990 - 2000,Austria
"Колас, Якуб",0,#E59247,Austria,German
"Крапіва, К.А",0,#E59247,German,"Кафка, Франц"
"Купала, Янка",0,#E59247,1990 - 2000,Austria
Bulgaria,262,#F2A2A11,Austria,German
Bulgarian,257,#D1605E,German,"Кафка, Франц"
"Анастасов, Петр",0,#E59247,1990 - 2000,Austria
"Андреев, Андрей",0,#E59247,Austria,German
"Андреев, Веселин",0,#E59247,German,"Кафка, Франц"
"Априлов, Борис",0,#E59247,1990 - 2000,Austria
"Атанасов, Герчо",0,#E59247,Austria,German
"Багряна, Єлисавета",0,#E59247,German,"Кафка, Франц"
"Банов, Банчо",0,#E59247,1990 - 2000,Austria
"Башев, Володимир (Владимир)",0,#E59247,Austria,German
"Белев, Кристо",0,#E59247,German,"Кіш, Егон Ервін"
"Божилов, Божидар",0,#E59247,1920 - 1930,Austria
"Бонев, Петер",0,#E59247,Austria,German
"Ботев, Христо",0,#E59247,German,"Кіш, Егон Ервін"
"Бумов, Радослав",0,#E59247,1990 - 2000,Austria
"Бурнаскі, Евстаті",0,#E59247,Austria,German
"Вазов, Іван",0,#E59247,German,"Майрекер, Фрідеріке"
"Вапцаров, Никола",0,#E59247,1990 - 2000,Austria
"Василев, Димитр",0,#E59247,Austria,German
"Василев(Василеві), Орлин",0,#E59247,German,"Музіль, Роберт"
"Вежинов, Павел",0,#E59247,1990 - 2000,Austria
"Величков, Георгій",0,#E59247,Austria,German
"Велков, Крум",0,#E59247,German,"Рансмайр, Крістоф"
"Вилчев, Найден",0,#E59247,1970 - 1980,Austria
"Габе, Дора",0,#E59247,Austria,German
"Георгієв, Велин",0,#E59247,German,"Рільке, Райнер Марія"
"Германов, Андрей",0,#E59247,1970 - 1980,Austria
"Геров, Александр",0,#E59247,Austria,German
"Голев, Владимир",0,#E59247,German,"Рільке, Райнер Марія"
"Гончев, Кирил Христов",0,#E59247,1990 - 2000,Austria
"Грозев, Кунчо",0,#E59247,Austria,German
"Грубешлієва, Марія",0,#E59247,German,"Рільке, Райнер Марія"
"Гуляшки, Андрей",0,#E59247,1960 - 1970,Austria
"Давіздков, Іван",0,#E59247,Austria,German
"Далчев, Атанас",0,#E59247,German,"Рільке, Райнер Марія"
"Даскалов, Стоян Ц",0,#E59247,1990 - 2000,Austria
"Дебелянов, Димчо",0,#E59247,Austria,German
"Джагаров, Георгій",0,#E59247,German,"Рільке, Райнер Марія"
"Дикова, Марта",0,#E59247,1960 - 1970,Austria
"Дилов, Любен",0,#E59247,Austria,German
"Димитрова, Блага",0,#E59247,German,"Рільке, Райнер Марія"
"Дишев, Димитр",0,#E59247,1980 - 1990,Austria
"Донев, Антон",0,#E59247,Austria,German
